id,symbol_id,last_price,last_price_change,price,percent_change,change,shares,market_value,gain,day_gain,return,amount_today,percent_today,total,total_percent,current_value,percent_account,quantity,average_cost,total_cost,amount_today_note,percent_today_note,timestamp,fees,side,current_price,user_id,portfolio_id,traded_fund
3d02b825-2054-4609-a580-3e2dabe6e8f1,3585e353-3d6e-4493-8374-ee35ed22850a,8760,1196,92320,739,18615,7,3187,27040,112986,1514,39857,14755,21797,37247,90251,17125,33904,21777,24478,Morbi vel lectus in quam fringilla rhoncus.,In hac habitasse platea dictumst.,1694624400000,,,85773,fbbcd517-4f2c-402c-b20d-d6ed2c1d4236,1,67961
84e76325-3ab5-48a2-ad25-0cdb3e30f6ba,3585e353-3d6e-4493-8374-ee35ed22850a,390,1360,98529,413,3257,1,1091,171694,35161,1158,5006,922,6288,81293,72165,16292,22626,50812,58522,Morbi vel lectus in quam fringilla rhoncus.,In hac habitasse platea dictumst.,1694628000000,,,74413,fbbcd517-4f2c-402c-b20d-d6ed2c1d4236,1,2810
e00147e0-7492-44cb-9414-b2047f8325be,3585e353-3d6e-4493-8374-ee35ed22850a,1727,1175,98514,295,1688,6,943,115007,140504,9196,7392,12743,11437,141731,13215,6799,40707,11698,23339,Morbi vel lectus in quam fringilla rhoncus.,In hac habitasse platea dictumst.,1694631600000,,,65931,fbbcd517-4f2c-402c-b20d-d6ed2c1d4236,1,51018
907d8327-e3c1-4fb1-8c8a-0c8141a8abf9,3585e353-3d6e-4493-8374-ee35ed22850a,5442,631,96100,1201,15675,3,1880,50893,26411,19619,18161,13382,2237,165003,51293,610,65093,7943,71634,Morbi vel lectus in quam fringilla rhoncus.,In hac habitasse platea dictumst.,1694635200000,,,32922,fbbcd517-4f2c-402c-b20d-d6ed2c1d4236,1,42684
60ead9ce-4f9f-4801-9ce0-74a31df24b82,3585e353-3d6e-4493-8374-ee35ed22850a,6934,1321,73169,178,18072,5,1837,160397,179934,736,12613,4435,19611,87791,39034,915,32525,19112,64821,Morbi vel lectus in quam fringilla rhoncus.,In hac habitasse platea dictumst.,1694638800000,,,30779,fbbcd517-4f2c-402c-b20d-d6ed2c1d4236,1,54868
74f8ee77-8368-41d0-bad7-e46686b697ff,3585e353-3d6e-4493-8374-ee35ed22850a,5417,927,92269,1574,13027,3,1900,163755,91147,18766,20984,13234,21349,186456,94652,1144,88637,41058,18808,Morbi vel lectus in quam fringilla rhoncus.,In hac habitasse platea dictumst.,1694642400000,,,25391,fbbcd517-4f2c-402c-b20d-d6ed2c1d4236,1,7962
20da0bbe-0ca5-4a02-9dca-3d869efe7db5,3585e353-3d6e-4493-8374-ee35ed22850a,1196,1112,97848,488,-214,1,744,122584,165450,15270,5705,6702,11358,32811,31735,1123,10775,12804,51925,Morbi vel lectus in quam fringilla rhoncus.,In hac habitasse platea dictumst.,1694646000000,,,29119,fbbcd517-4f2c-402c-b20d-d6ed2c1d4236,1,39431
7c540f1c-bde9-4042-87bc-8aa9f8ca2e20,3585e353-3d6e-4493-8374-ee35ed22850a,1835,924,81551,1772,11319,4,1784,71838,81382,9776,36972,4889,6749,172743,5562,11203,46191,34733,19195,Morbi vel lectus in quam fringilla rhoncus.,In hac habitasse platea dictumst.,1694649600000,,,48778,fbbcd517-4f2c-402c-b20d-d6ed2c1d4236,1,25258
3e9fce9f-dea2-4128-8687-bb49263ebd5c,3585e353-3d6e-4493-8374-ee35ed22850a,8757,104,87302,839,-186,6,2531,7446,56310,342,15410,1707,9211,69807,88735,15634,33168,22829,5168,Morbi vel lectus in quam fringilla rhoncus.,In hac habitasse platea dictumst.,1694653200000,,,49117,fbbcd517-4f2c-402c-b20d-d6ed2c1d4236,1,48462
98d82eee-7133-4aab-8968-1001647b5158,3585e353-3d6e-4493-8374-ee35ed22850a,1073,735,93159,107,12340,0,895,28103,54192,4708,13167,335,25821,186825,20038,8549,64696,59724,68339,Morbi vel lectus in quam fringilla rhoncus.,In hac habitasse platea dictumst.,1694656800000,,,68955,fbbcd517-4f2c-402c-b20d-d6ed2c1d4236,1,23430
0724e2be-2697-453a-beb9-5e020727e4d5,3585e353-3d6e-4493-8374-ee35ed22850a,2528,1394,80966,312,9597,9,933,185248,178139,6498,28148,9735,22303,75494,37008,14741,14257,30044,40853,Morbi vel lectus in quam fringilla rhoncus.,In hac habitasse platea dictumst.,1694660400000,,,55849,fbbcd517-4f2c-402c-b20d-d6ed2c1d4236,1,56281
2d802a2a-7e44-4170-aecf-84061cb59725,3585e353-3d6e-4493-8374-ee35ed22850a,1065,1289,91521,259,1413,1,2653,133879,120117,17547,11994,18005,23715,171659,67792,7973,3807,34871,37554,Morbi vel lectus in quam fringilla rhoncus.,In hac habitasse platea dictumst.,1694664000000,,,57667,fbbcd517-4f2c-402c-b20d-d6ed2c1d4236,1,29729
